anio_c,pais_c,population,poor_int_pop,poor_int_delta_pop,poor31_int_pop,poor31_int_delta_pop,poor_national_pop,poor_national_delta_pop,poor_e_national_pop,poor_e_national_delta_pop,poor_national_new_recovery,poor_e_national_new_recovery,poor_int,poor_int_delta,poor31_int,poor31_int_delta,poor_national,poor_national_delta,poor_e_national,poor_e_national_delta,shock_weight,shock_component
2020,ARG,28644818.0,3117451.0,3033772.0,1600371.0,1589140.0,9345989.0,9145764.0,2615991.0,2443448.0,0.0,0.0,0.12102024915073895,0.1177718088613215,0.06212681359021111,0.061690823283318735,0.4485814255681058,0.4389711835771968,0.1255602774680491,0.11727869432989244,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2014,BHS,257918.38403320312,10644.299877166748,9358.222019195557,6016.8191566467285,4944.536720275879,10644.299877166748,9358.222019195557,6016.8191566467285,4944.536720275879,0.0,0.0,0.05380851274391729,0.04730719865009334,0.030415912178758265,0.02499536561314447,0.05380851274391729,0.04730719865009334,0.030415912178758265,0.02499536561314447,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2007,BLZ,313923.68988609314,19310.166982650757,17716.942991256714,11562.428081512451,11283.11243057251,19310.166982650757,17716.942991256714,11562.428081512451,11283.11243057251,0.0,0.0,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2020,BOL,11749037.995095253,3051805.186159134,2951385.7665548325,1607023.870554924,1535369.2672185898,4538500.133379936,4346947.469762802,1714047.6042966843,1637819.632842064,0.0,0.0,0.26149906469056505,0.25289445767882346,0.13770054556280956,0.13156070025479133,0.3888890238995002,0.37247551146363295,0.14687105434891756,0.14033933229501747,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2020,BRA,211096452.99566078,41242997.93794346,40986010.28911686,18028022.542549133,17094286.611450195,46497642.96545887,45697892.94176388,8674885.643491745,8631296.923761368,0.0,0.0,0.20016417761787167,0.19891694235474347,0.087495198863464,0.0829635087801704,0.22566648717812832,0.2217850693909527,0.04210172483996663,0.041890176197179434,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2016,BRB,278999.9999694824,10226.09602355957,7769.971202850342,3090.0795555114746,3090.0795555114746,10226.09602355957,7769.971202850342,3090.0795555114746,3090.0795555114746,0.0,0.0,0.04358769412399205,0.03311871190743805,0.013171149789140335,0.013171149789140335,0.04358769412399205,0.03311871190743805,0.013171149789140335,0.013171149789140335,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2020,CHL,19545799.0,2195707.0,2099668.0,1077324.0,1044636.0,2112185.0,2004467.0,831232.0,760472.0,0.0,0.0,0.11488974632820459,0.10986453287868038,0.05637067289637765,0.05466028256288764,0.10813706196038599,0.10262224766133128,0.04255639836825636,0.03893371451039499,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2020,COL,49620239.65705776,16934375.421102524,16105552.89699936,8793001.726118088,8384147.85562706,18939982.820563316,18030157.44936371,5191881.252938271,4879644.759225845,0.0,0.0,0.34989991249207564,0.33277469107447477,0.18168196098200595,0.1732341777039414,0.38169873727865755,0.36336296587796063,0.10463232924349249,0.09833980635625138,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2021,CRI,5163413.0,878268.0,828325.0,363379.0,338766.0,1351668.0,1279098.0,376776.0,349311.0,0.0,0.0,0.1721955685915446,0.162403610690121,0.07124505676994594,0.06641936628623973,0.2622203451876859,0.24814193950650504,0.07309363895456246,0.0677654949276418,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
2020,DOM,10480963.994644165,2482052.771194458,2272553.1899108887,1000347.8591766357,893364.6697845459,2367297.6797180176,2058298.7022247314,325918.0559082031,277729.8112640381,0.0,0.0,0.24088682959608165,0.22055459068368352,0.09708521393536816,0.08670233988376781,0.22586640703352484,0.19638448364831082,0.03109619077737021,0.026498498745531392,0.0,"Alimentos fuera del hogarAzúcaresBebidas no alcohólicasCarnes, aves y huevosFrutasGranosPanes y
cerealesGrasasLeguminosasLácteosProductos no especificados previamenteRaíces y
tubérculosVegetales"
