anio_c,pais_c,population,poor_int_pop,poor_int_delta_pop,poor31_int_pop,poor31_int_delta_pop,poor_national_pop,poor_national_delta_pop,poor_e_national_pop,poor_e_national_delta_pop,lpe_ci_diff,lp_ci_diff,poor_int,poor_int_delta,poor31_int,poor31_int_delta,poor_national,poor_national_delta,poor_e_national,poor_e_national_delta,shock_weight
2020,ARG,28644818.0,3117451.0,3033772.0,1600371.0,1589140.0,9345989.0,9145764.0,2615991.0,2443448.0,0.0,0.0,0.12102024915073895,0.1177718088613215,0.06212681359021111,0.061690823283318735,0.4485814255681058,0.4389711835771968,0.1255602774680491,0.11727869432989244,0.0
2014,BHS,257918.38403320312,10644.299877166748,9358.222019195557,6016.8191566467285,4944.536720275879,10644.299877166748,9358.222019195557,6016.8191566467285,4944.536720275879,0.0,0.0,0.05380851274391729,0.04730719865009334,0.030415912178758265,0.02499536561314447,0.05380851274391729,0.04730719865009334,0.030415912178758265,0.02499536561314447,0.0
2007,BLZ,313923.68988609314,19310.166982650757,17716.942991256714,11562.428081512451,11283.11243057251,19310.166982650757,17716.942991256714,11562.428081512451,11283.11243057251,0.0,0.0,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.0
2020,BOL,11749037.995095253,3051805.186159134,2951385.7665548325,1607023.870554924,1535369.2672185898,4538500.133379936,4346947.469762802,1714047.6042966843,1637819.632842064,2.701982138647238e-07,6.756156877065498e-07,0.26149906469056505,0.25289445767882346,0.13770054556280956,0.13156070025479133,0.3888890238995002,0.37247551146363295,0.14687105434891756,0.14033933229501747,0.0
2020,BRA,211096452.99566078,41242997.93794346,40986010.28911686,18028022.542549133,17094286.611450195,46497642.96545887,45697892.94176388,8674885.643491745,8631296.923761368,0.0,0.0,0.20016417761787167,0.19891694235474347,0.087495198863464,0.0829635087801704,0.22566648717812832,0.2217850693909527,0.04210172483996663,0.041890176197179434,0.0
2016,BRB,278999.9999694824,10226.09602355957,7769.971202850342,3090.0795555114746,3090.0795555114746,10226.09602355957,7769.971202850342,3090.0795555114746,3090.0795555114746,0.0,0.0,0.04358769412399205,0.03311871190743805,0.013171149789140335,0.013171149789140335,0.04358769412399205,0.03311871190743805,0.013171149789140335,0.013171149789140335,0.0
2020,CHL,19545799.0,2195707.0,2099668.0,1077324.0,1044636.0,2112185.0,2004467.0,831232.0,760472.0,0.0,0.0,0.11488974632820459,0.10986453287868038,0.05637067289637765,0.05466028256288764,0.10813706196038599,0.10262224766133128,0.04255639836825636,0.03893371451039499,0.0
2020,COL,49620239.65705776,16934375.421102524,16105552.89699936,8793001.726118088,8384147.85562706,18939982.820563316,18030157.44936371,5191881.252938271,4879644.759225845,0.0001437277898976852,0.0006991864523577807,0.34989991249207564,0.33277469107447477,0.18168196098200595,0.1732341777039414,0.38169873727865755,0.36336296587796063,0.10463232924349249,0.09833980635625138,0.0
2021,CRI,5163413.0,878268.0,828325.0,363379.0,338766.0,1351668.0,1279098.0,376776.0,349311.0,0.0,0.0,0.1721955685915446,0.162403610690121,0.07124505676994594,0.06641936628623973,0.2622203451876859,0.24814193950650504,0.07309363895456246,0.0677654949276418,0.0
2020,DOM,10480963.994644165,2482052.771194458,2272553.1899108887,1000347.8591766357,893364.6697845459,2367297.6797180176,2058298.7022247314,325918.0559082031,277729.8112640381,0.0,0.0,0.24088682959608165,0.22055459068368352,0.09708521393536816,0.08670233988376781,0.22586640703352484,0.19638448364831082,0.03109619077737021,0.026498498745531392,0.0
2020,ECU,17695544.989904404,6586100.245279312,6362223.443101883,3491176.0305366516,3323406.0274066925,5533934.7630729675,5263748.605995178,2512521.3625125885,2347527.639257431,0.0,0.0,0.3787222877951116,0.36584864002978,0.20075403108660456,0.1911067076262134,0.31821933404097624,0.3026827470276806,0.14447818938481766,0.13499051109024338,0.0
2014,GTM,16002003.998764038,9157928.231903076,8812743.231903076,5970871.429046631,5610749.429046631,9486743.199783325,9084970.15901184,3737409.676925659,3384341.676925659,0.0,0.0,0.5747089919568676,0.5530467864486894,0.3747041266535849,0.3521045444816593,0.5928471959209648,0.5677395256065144,0.23355885157973522,0.21149486509233836,0.0
2019,GUY,745059.1476888657,299922.63168144226,206605.1998310089,189381.52050876617,130152.1012096405,299922.63168144226,206605.1998310089,189381.52050876617,130152.1012096405,0.0,-2.710509389321908e-06,0.48676766835129825,0.3353155806455167,0.3073619374772231,0.211233925501591,0.48676766835129825,0.3353155806455167,0.3073619374772231,0.211233925501591,0.0
2019,HND,2251019.1909561157,268601.8744163513,263394.08137893677,184826.1531906128,177366.54668426514,328202.57481765747,318736.6521644592,211485.94050598145,204827.87186431885,0.0,0.0,0.5163260271061143,0.5063152291738886,0.35528625252365614,0.340946855229551,0.6303425902136706,0.6121624336219854,0.40617778701577234,0.39339036682037104,0.0
2018,JAM,3157964.7343235016,0.0,0.0,0.0,0.0,353107.1140060425,325914.7932777405,97747.99367141724,83809.54419326782,-1.1185595158030859e-05,0.0,,,,,0.11332047995837581,0.10459381681881487,0.03136965843634556,0.026896478140373284,0.0
2020,MEX,126760856.0,38534112.0,36385580.0,16988970.0,15867717.0,66887453.0,64250382.0,18855506.0,17538509.0,0.0,-4.434347692949814e-05,0.30552268588149867,0.2884877723134282,0.1346992437443532,0.1258092444597534,0.5276664666890543,0.5068629546016951,0.14874864839978677,0.13835902938364505,0.0
2014,NIC,6240907.859611034,3012898.8379786015,2911970.6962502003,1784050.8496847153,1720512.927110672,2473974.7280521393,2376187.317369461,1399767.9736042023,1305866.942117691,0.0,0.0,0.507505286974529,0.4905045284737745,0.30051299002586174,0.28981039648928636,0.41672665490826905,0.4002549342864427,0.23578277444534668,0.21996569179688352,0.0
2019,PAN,4076474.0,638719.0,595035.0,374547.0,340836.0,873663.0,821421.0,387056.0,357528.0,-8.786216199041519e-09,-1.7572432398083038e-08,0.15949987401707724,0.14859117630092664,0.09353127011013329,0.08511301379868853,0.21816970911055059,0.20512392149753117,0.09665499732676475,0.08928131299926508,0.0
2020,PER,33221603.712699294,11615062.224806905,11020979.872205973,6025398.099321961,5652844.662004113,9984368.428366065,9063369.961044312,1703729.5014824867,1480004.2740502357,-7.635218185708965e-08,4.038146812923327e-07,0.3517520468127544,0.3337607800026286,0.18247393541909457,0.17119147893394568,0.3005384241745512,0.2728155461555803,0.05128378257161676,0.044549453026088835,0.0
2020,PRY,7221008.0,1551825.0,1470075.0,604770.0,565896.0,1863389.0,1755545.0,269304.0,229340.0,-7.784803165122867e-05,0.0,0.21788632885703346,0.20640809685016254,0.08491364367945363,0.0794554810979845,0.25805109203590415,0.2431163350047528,0.037294516222665865,0.031760108837990485,0.0
2020,SLV,6321041.993896484,1850907.7714862823,1762656.4167613983,978830.4975585938,916308.9993572235,1814047.6373729706,1695685.664741516,550173.576871872,504899.75363731384,2.769473601454454e-08,3.443793739486465e-08,0.3070946682663867,0.29245238250758043,0.16240335232662695,0.15203005385900548,0.2869855380053781,0.26826046502757744,0.08703843091109224,0.0798760321676139,0.0
2017,SUR,494372.2035036087,237259.42736196518,234451.99771642685,146482.05988121033,142790.1365852356,129338.43584489822,127538.45404481888,8341.4700050354,8341.4700050354,0.0,0.0,0.5362725627820821,0.5299269877818258,0.3310903618352408,0.32274558418176225,0.2616215776863638,0.2579806330957843,0.016872853987177115,0.016872853987177115,0.0
2015,TTO,1370327.9436531067,101598.74156570435,90817.5061302185,35306.4885635376,33907.39694213867,101598.74156570435,90817.5061302185,35306.4885635376,33907.39694213867,0.0,0.0,0.11341816344342873,0.10138270016996646,0.039413845376452754,0.03785199136386605,0.11341816344342873,0.10138270016996646,0.039413845376452754,0.03785199136386605,0.0
2020,URY,3530882.831489086,333549.2358431816,318648.72210264206,123476.6556968689,116813.19368839264,611005.5813837051,581804.0274906158,168771.57465457916,159954.37864398956,-5.150244266491572e-07,-2.4014641623112e-07,0.09548715067440049,0.09122149077243084,0.03534840665274758,0.03344081721034316,0.17491625146434336,0.1665565465785945,0.04831525618057285,0.045791104320771485,0.0
2021,VEN,28704946.98902893,25287458.12391281,25388296.525550842,23255209.237609863,23424495.186927795,25287458.12391281,25388988.847373962,23258676.789611816,23424868.131462097,0.00020885597760955665,0.0,0.9067657634428258,0.9103816591092707,0.833892732714928,0.8399630424440131,0.9067657634428258,0.9104064846066937,0.8340170733039632,0.8399764156084376,0.0
2020,ARG,28644818.0,3117451.0,3457613.0,1600371.0,1674208.0,9345989.0,9146250.0,2615991.0,2451300.0,296367393.5114795,296367393.5114548,0.12102024915073895,0.13422542542828544,0.06212681359021111,0.06499318490977415,0.4485814255681058,0.4389945102227584,0.1255602774680491,0.11765556844707369,0.1
2014,BHS,257918.38403320312,10644.299877166748,10596.961643218994,6016.8191566467285,6016.8191566467285,10644.299877166748,9358.222019195557,6016.8191566467285,4944.536720275879,303282.8735390596,303282.87353906705,0.05380851274391729,0.053569210958544236,0.030415912178758265,0.030415912178758265,0.05380851274391729,0.04730719865009334,0.030415912178758265,0.02499536561314447,0.1
2007,BLZ,313923.68988609314,19310.166982650757,19426.837450027466,11562.428081512451,12282.869228363037,19310.166982650757,17716.942991256714,11562.428081512451,11283.11243057251,148092.04116169462,148092.0411617062,0.0803069258979802,0.08079213385017046,0.04808570821666102,0.05108187152513821,0.0803069258979802,0.07368104217927804,0.04808570821666102,0.04692409313055984,0.1
2020,BOL,11749037.995095253,3152191.368818283,3252072.2588005066,1615345.232829094,1664087.0072965622,4538500.133379936,4364701.6364040375,1714047.6042966843,1659243.4839391708,35924094.538049415,35924094.538050175,0.2701008237387112,0.2786592859332409,0.13841357549719585,0.14259009649283738,0.3888890238995002,0.37399680711910255,0.14687105434891756,0.14217507104052182,0.1
2020,BRA,211096452.99566078,42286187.75588322,45493855.26591396,18159575.634170532,20471356.450717926,46497642.96545887,45816865.54121685,8674885.643491745,8656069.676073074,408999377.67909276,408999377.67909276,0.2052270790180423,0.22079481563561193,0.08813366400213087,0.09935340381525597,0.22566648717812832,0.2223624777685977,0.04210172483996663,0.04201040551710582,0.1
2016,BRB,278999.9999694824,10226.09602355957,10226.09602355957,3090.0795555114746,3090.0795555114746,10226.09602355957,7769.971202850342,3090.0795555114746,3090.0795555114746,314866.27671420056,314866.2767142186,0.04358769412399205,0.04358769412399205,0.013171149789140335,0.013171149789140335,0.04358769412399205,0.03311871190743805,0.013171149789140335,0.013171149789140335,0.1
2020,CHL,19545799.0,2203231.0,2504816.0,1084198.0,1185805.0,2112185.0,2011931.0,831232.0,766561.0,6807039505.538226,6807039505.538909,0.11528343749527442,0.1310637871258907,0.056730352997711786,0.062046910468799635,0.10813706196038599,0.10300438039614017,0.04255639836825636,0.0392454516784351,0.1
2020,COL,49620239.65705776,17097823.495295525,17915546.84880638,9004209.339918137,9515111.03428936,18939982.820563316,18130964.165927887,5191881.252938271,4974264.17515564,71517207451.4729,71517207451.47314,0.353277094433245,0.3701729835771475,0.1860459557411044,0.19660226228960453,0.38169873727865755,0.36539453036174563,0.10463232924349249,0.10024667775759367,0.1
2021,CRI,5163413.0,905326.0,972631.0,374049.0,403845.0,1351668.0,1302062.0,376776.0,361087.0,4047009108.464031,4047009108.46404,0.17750063230210905,0.19069663027089978,0.07333704545320867,0.07917892875278654,0.2622203451876859,0.25259690034517995,0.07309363895456246,0.07005001064076824,0.1
